#Organism Group,Strain,Serovar,Isolate,Create Date,Location,Isolation Source,Isolation type,Host,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,K-mer group
E.coli and Shigella,3_2_53FAA,,PDT000005609.3,2015-07-15T21:49:31Z,not determined,,clinical,Homo sapiens,,,,SAMN02463704,GCA_000157115.2,blaEC,PDG000000004.1583
E.coli and Shigella,UCD_JA23,,PDT000024460.2,2015-10-29T21:09:52Z,USA: UC Davis Medical Center,blood,clinical,Homo sapiens,,,,SAMN02650862,GCA_000599765.2,blaEC-5,PDG000000004.1583
E.coli and Shigella,S7005,,PDT000030349.1,2014-05-14T22:02:23Z,Kenya,,clinical,Homo sapiens,,,,SAMN02709451,GCA_000690985.1,"blaEC,blaTEM-1,dfrA7,qacEdelta1,sul1,sul2",PDG000000004.1583
E.coli and Shigella,S5274,,PDT000030350.1,2014-05-14T22:02:47Z,Kenya,,clinical,Homo sapiens,,,,SAMN02709456,GCA_000691005.1,"ant(3''),blaEC,blaTEM-1,dfrA15,qacEdelta1,sul1,tet(A)",PDG000000004.1583
E.coli and Shigella,S6662,,PDT000030351.1,2014-05-14T22:03:08Z,Kenya,,clinical,Homo sapiens,,,,SAMN02709455,GCA_000691025.1,"ant(3''),blaEC,blaTEM-1,dfrA15,qacEdelta1,sul1,tet(A)",PDG000000004.1583
E.coli and Shigella,S7380,,PDT000030352.1,2014-05-14T22:03:27Z,Kenya,,clinical,Homo sapiens,,,,SAMN02709454,GCA_000691045.1,"ant(3''),blaEC,blaTEM-1,dfrA15,qacEdelta1,sul1,tet(A)",PDG000000004.1583
E.coli and Shigella,S6995,,PDT000030354.1,2014-05-14T22:04:25Z,Kenya,,clinical,Homo sapiens,,,,SAMN02709450,GCA_000691085.1,"aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA14,sul2",PDG000000004.1583
E.coli and Shigella,S6685,,PDT000030355.1,2014-05-14T22:04:55Z,Kenya,,clinical,Homo sapiens,,,,SAMN02709457,GCA_000691105.1,"aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,sul2,tet(B)",PDG000000004.1583
E.coli and Shigella,SCB34,,PDT000030604.1,2014-05-22T18:01:20Z,"USA: Oklahoma City, OK",Blood culture,clinical,Homo sapiens,,,,SAMN02712194,GCA_000695505.1,"aac(3)-IIa,aac(6')-Ib-cr5,blaEC,blaOXA-1,catB3",PDG000000004.1583
E.coli and Shigella,2009-46,,PDT000031685.1,2014-05-30T17:01:25Z,Australia: Sydney Adventist Hospital,urine,clinical,Homo sapiens,,,,SAMN02725027,GCA_000696545.1,"aadA4,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,catA1,dfrA,sul2,tet(B)",PDG000000004.1583
E.coli and Shigella,UCD_JA23_pb,,PDT000034441.1,2014-06-27T17:06:55Z,"USA: UC Davis Medical Center, Davis, Ca",blood,clinical,Homo sapiens,,,,SAMN02739501,GCA_000715035.1,blaEC-5,PDG000000004.1583
E.coli and Shigella,CS04,,PDT000036729.1,2014-08-15T18:01:21Z,USA: Santa Clara,Human rectal sample,clinical,Homo sapiens,,,,SAMN02841130,GCA_000740535.1,"aac(3)-II,aadA5,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA17,mph(A),qacE,sul1,sul2,tet(A)",PDG000000004.1583
E.coli and Shigella,CS01,,PDT000036732.1,2014-08-15T18:01:25Z,USA: Santa Clara,Human fecal sample,clinical,Homo sapiens,,,,SAMN02841127,GCA_000740545.1,"blaEC,dfrA5,mph(A),qacE,sul1,tet(B)",PDG000000004.1583
E.coli and Shigella,CS02,,PDT000036731.1,2014-08-15T18:01:24Z,USA: Santa Clara,Human fecal sample,clinical,Homo sapiens,,,,SAMN02841128,GCA_000740555.1,"aac(3)-IId,aadA5,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA17,mph(A),qacEdelta1,sul1,sul2,tet(A)",PDG000000004.1583
E.coli and Shigella,CS05,,PDT000036730.1,2014-08-15T18:01:24Z,USA: Santa Clara,Human rectal sample,clinical,Homo sapiens,,,,SAMN02841131,GCA_000740565.1,"aac(3)-IId,aadA5,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA17,mph(A),qacE,sul1,sul2,tet(A)",PDG000000004.1583
E.coli and Shigella,CS06,,PDT000036733.1,2014-08-15T18:01:43Z,USA: Santa Clara,Human rectal sample,clinical,Homo sapiens,,,,SAMN02841133,GCA_000740615.1,"blaCMY-4,blaEC,tet(A)",PDG000000004.1583
E.coli and Shigella,CS03,,PDT000036734.1,2014-08-15T18:01:46Z,USA: Santa Clara,Human fecal sample,clinical,Homo sapiens,,,,SAMN02841129,GCA_000740625.1,"blaCMY-2,blaEC",PDG000000004.1583
E.coli and Shigella,FHI51,,PDT000038852.1,2014-09-09T19:57:00Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593933,GCA_000752135.1,"aph(3'')-Ib,aph(6)-Id,blaEC",PDG000000004.1583
E.coli and Shigella,FHI52,104,PDT000038853.1,2014-09-09T19:57:42Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593934,GCA_000752155.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI41,113,PDT000038854.1,2014-09-09T19:58:14Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593924,GCA_000752175.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI3,26,PDT000038855.1,2014-09-09T19:58:50Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593890,GCA_000752195.1,"aadA1,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA1,qacEdelta1,sul1,sul2,tet(A)",PDG000000004.1583
E.coli and Shigella,FHI69,,PDT000038857.1,2014-09-09T20:00:14Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593949,GCA_000752235.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI60,26,PDT000038858.1,2014-09-09T20:00:56Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593940,GCA_000752255.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI78,26,PDT000038859.1,2014-09-09T20:02:18Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593958,GCA_000752295.1,"aph(3'')-Ib,aph(6)-Id,blaEC,sul2",PDG000000004.1583
E.coli and Shigella,FHI32,,PDT000038860.1,2014-09-09T20:03:01Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593916,GCA_000752315.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI68,117,PDT000038864.1,2014-09-09T20:05:42Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593948,GCA_000752415.1,"aadA2,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA12,dfrA5,mph(A),qacEdelta1,sul1,sul2,tet(A)",PDG000000004.1583
E.coli and Shigella,FHI1,26,PDT000038865.1,2014-09-09T20:06:17Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593888,GCA_000752435.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI31,,PDT000038866.1,2014-09-09T20:07:11Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593915,GCA_000752455.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI2,26,PDT000038868.1,2014-09-09T20:08:42Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593889,GCA_000752495.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI61,26,PDT000038869.1,2014-09-09T20:09:23Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593941,GCA_000752515.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI67,111,PDT000038870.1,2014-09-09T20:09:58Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593947,GCA_000752535.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI76,117,PDT000038871.1,2014-09-09T20:10:30Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593956,GCA_000752555.1,"aph(3'')-Ib,aph(6)-Id,blaEC,sul2,tet(A)",PDG000000004.1583
E.coli and Shigella,FHI81,91,PDT000038872.1,2014-09-09T20:11:13Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593960,GCA_000752575.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI84,145,PDT000038875.1,2014-09-09T20:13:31Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593963,GCA_000752635.1,"aph(3'')-Ib,aph(6)-Id,blaEC,sul2",PDG000000004.1583
E.coli and Shigella,FHI47,26,PDT000038876.1,2014-09-09T20:14:22Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593929,GCA_000752655.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI96,,PDT000038878.1,2014-09-09T20:15:12Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593974,GCA_000752695.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI56,103,PDT000038880.1,2014-09-09T20:16:24Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593937,GCA_000752735.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI22,146,PDT000038881.1,2014-09-09T20:17:13Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593907,GCA_000752755.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI5,,PDT000038882.1,2014-09-09T20:18:01Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593892,GCA_000752775.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI53,,PDT000038884.1,2014-09-09T20:19:38Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593935,GCA_000752835.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI77,26,PDT000038888.1,2014-09-09T20:22:58Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593957,GCA_000752915.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI49,146,PDT000038889.1,2014-09-09T20:23:38Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593931,GCA_000752935.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI91,,PDT000038890.1,2014-09-09T20:24:26Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593970,GCA_000752955.1,"aph(3'')-Ib,aph(6)-Id,blaEC,sul2",PDG000000004.1583
